"member_id","monthly_rate","join_date","cancel_date","zipcode","personal_training_client","check_ins_per_week","dob","age","membership_length_in_months","age_group"
"CP1",100,"2017-12-08",,10011,FALSE,4,"1900-08-14",121,53,"75+"
"CP1000000020",100,"2002-01-16",,10014,FALSE,4,"1956-06-04",65,243,"55-74"
"CP1000000031",100,"2002-02-09",,10003,FALSE,3,"1964-12-31",57,243,"55-74"
"CP1000000034",100,"2002-01-30","2019-03-29",10011,TRUE,3,"1959-07-10",62,205,"55-74"
"CP1000000038",100,"2002-01-31","2019-01-31",10003,FALSE,3,"1954-06-09",67,204,"55-74"
"CP1000000056",100,"2002-02-19",,10011,FALSE,3,"1969-12-08",52,242,"25-54"
"CP1000000060",100,"2002-02-24",,10003,FALSE,4,"1966-12-11",55,242,"55-74"
"CP1000000085",130,"2002-01-30",,10025,FALSE,3,"1975-01-29",47,243,"25-54"
"CP1000000111",100,"2002-02-28",,11207,FALSE,2,"1974-05-05",48,242,"25-54"
"CP1000000129",130,"2002-02-28","2018-10-02",10011,FALSE,2,"1962-02-28",60,199,"55-74"
"CP1000000138",130,"2002-02-28",,10010,FALSE,5,"1963-02-18",59,242,"55-74"
"CP1000000142",130,"2002-03-02",,10012,FALSE,6,"1967-09-13",54,242,"25-54"
"CP1000000147",100,"2002-03-05",,10003,FALSE,8,,,242,""
"CP1000000167",100,"2002-03-12",,10011,FALSE,1,"1952-11-25",69,242,"55-74"
"CP1000000222",100,"2002-03-15",,10011,FALSE,2,,,242,""
"CP1000000497",130,"2002-04-07","2019-02-18",10011,FALSE,4,"1955-08-30",66,202,"55-74"
"CP1000000529",130,"2002-04-01","2018-12-16",10011,FALSE,4,"1960-12-24",61,200,"55-74"
"CP1000000679",100,"2002-04-08",,10003,FALSE,2,,,241,""
"CP1000000680",100,"2002-04-08",,10011,FALSE,1,"1982-02-02",40,241,"25-54"
"CP1000000887",130,"2002-04-20","2019-08-01",10003,FALSE,1,"1963-09-23",58,207,"55-74"
"CP1000000982",100,"2002-04-24",,,FALSE,3,"1961-03-10",61,240,"55-74"
"CP1000001082",155,"2002-09-26",,,FALSE,1,"1950-11-06",71,235,"55-74"
"CP1000001286",130,"2003-08-12","2019-06-09",10011,FALSE,1,"1982-02-02",40,189,"25-54"
"CP1000001316",130,"2003-08-16",,10003,FALSE,1,,,224,""
"CP1000001323",130,"2004-05-10","2019-03-01",10011,FALSE,2,"1970-03-23",52,177,"25-54"
"CP1000001434",130,"2002-05-11",,10011,FALSE,1,"1958-10-30",63,240,"55-74"
"CP1000001516",100,"2003-09-02",,10013,FALSE,1,"1957-09-03",64,224,"55-74"
"CP1000001675",155,"2003-09-14",,10011,FALSE,4,"1959-03-08",63,224,"55-74"
"CP1000001760",130,"2003-09-20",,10011,FALSE,2,"1973-06-07",48,223,"25-54"
"CP1000001793",100,"2002-05-28",,,FALSE,5,"1950-09-21",71,239,"55-74"
"CP1000002030",100,"2002-06-07",,,FALSE,1,,,239,""
"CP1000002040",100,"2003-10-06",,10011,FALSE,1,"1964-03-07",58,223,"55-74"
"CP1000002042",100,"2003-10-07",,11226,FALSE,2,"1957-06-04",64,223,"55-74"
"CP1000002063",100,"2004-03-05",,10011,TRUE,2,"1959-02-14",63,218,"55-74"
"CP1000002179",100,"2003-10-14",,10003,TRUE,1,,,223,""
"CP1000002184",155,"2002-06-14","2019-08-03",,FALSE,3,"1959-03-07",63,205,"55-74"
"CP1000002185",100,"2002-06-14",,10003,FALSE,2,"1958-10-18",63,239,"55-74"
"CP1000002186",155,"2003-10-15",,10003,FALSE,0,"1979-02-13",43,223,"25-54"
"CP1000002250",155,"2002-06-17",,10011,FALSE,0,"1952-04-01",70,238,"55-74"
"CP1000002325",100,"2003-10-24",,10024,FALSE,0,"1942-04-20",80,222,"75+"
"CP1000002353",100,"2002-07-26","2019-02-16",10011,FALSE,2,"1954-08-18",67,198,"55-74"
"CP1000002447",100,"2003-04-19",,10010,FALSE,0,"1969-04-07",53,228,"25-54"
"CP1000002486",130,"2003-11-07","2018-11-17",10011,FALSE,3,"1982-02-02",40,180,"25-54"
"CP1000002542",100,"2003-11-10","2019-05-01",10011,FALSE,2,"1971-03-30",51,185,"25-54"
"CP1000002664",100,"2003-11-22",,10003,FALSE,0,"1900-01-01",122,221,"75+"
"CP1000002982",130,"2002-07-30","2018-09-21",,FALSE,0,"1977-12-27",44,193,"25-54"
"CP1000003302",130,"2002-08-22","2019-01-01",10002,FALSE,1,"1900-01-01",122,196,"75+"
"CP1000003344",155,"2004-01-11","2018-08-30",10003,FALSE,2,"1900-01-01",122,175,"75+"
"CP1000003375",100,"2002-08-26",,11238,FALSE,0,"1976-06-18",45,236,"25-54"
"CP1000003465",100,"2002-09-03",,,FALSE,0,"1942-07-12",79,236,"75+"
"CP1000003530",100,"2004-01-17",,10011,FALSE,0,"1963-07-01",58,219,"55-74"
"CP1000003531",100,"2004-01-17",,10011,FALSE,0,"1970-10-07",51,219,"25-54"
"CP1000003571",155,"2004-01-19","2018-08-31",10002,FALSE,6,"1974-12-02",47,175,"25-54"
"CP1000003754",130,"2004-02-03",,10011,FALSE,0,"1976-04-13",46,219,"25-54"
"CP1000003758",100,"2004-02-03","2019-08-01",10011,FALSE,2,"1982-02-02",40,185,"25-54"
"CP1000003760",130,"2003-04-05","2019-07-01",10011,FALSE,2,"1955-12-12",66,194,"55-74"
